nama_produk,harga_produk,nama_penjual,kota_toko,total_terjual,rating
,,,,10 terjual,5.0
,,,,8 rb+ terjual,4.9
,,,,250+ terjual,4.9
Gelifood Seblak Instan Kerupuk Mawar Bumbu Kencur Rafael Pedas Gurih,Rp13.000,Lidigeli,Kab. Garut,250+ terjual,4.8
Geli Food Seblak Ceker Tanpa Tulang Super Pedas 180gr,Rp22.500,Lidigeli,Kab. Garut,40+ terjual,5.0
seblak instan jeletot jajanan hits bandung 1 porsi,Rp4.180,tokomakanankalimantan,Jakarta Barat,1rb+ terjual,4.8
KERUPUK SEBLAK MENTAH ANEKA WARNA,Rp11.500,jajanangarut19,Jakarta Selatan,250+ terjual,4.9
KERUPUK SEBLAK MENTAH 1KG WARNA WARNI,Rp23.500,BociKakang,Jakarta Selatan,250+ terjual,5.0
SEBLAK INSTANT TERMURAH,Rp3.999,Pusat Cuankie & Cemilan Frozen,Jakarta Timur,10rb+ terjual,4.8
"Seblak Rafael, Seblak Coet Instan Halal",Rp25.000,Brother Meat Shop,Depok,250+ terjual,4.9
Seblak Instan Pedas Home Made,Rp3.500,the Dhecip,Tangerang Selatan,2rb+ terjual,4.8
Seblak pedas kerupuk pedas kiloan 1 kg,Rp35.000,RIKI STORE 97,Kab. Bogor,100+ terjual,4.8
"seblak ceker 500 gr pedas daun jeruk, gurih,cemilan bikin nagih",Rp17.499,aghniya,Tangerang Selatan,50+ terjual,4.9
SEBLAK INSTANT TERMURAH,Rp3.999,Pusat Cuankie & Cemilan Frozen,Jakarta Timur,10rb+ terjual,4.8
"Seblak Rafael, Seblak Coet Instan Halal",Rp25.000,Brother Meat Shop,Depok,250+ terjual,4.9
Seblak Instan Pedas Home Made,Rp3.500,the Dhecip,Tangerang Selatan,2rb+ terjual,4.8
Seblak instan yoi enak dan kenyang,Rp7.500,SeblakYoi,Bekasi,250+ terjual,5.0
SEBLAK INSTAN MAMANG TERMURAH,Rp4.000,global cookware1,Jakarta Barat,100+ terjual,4.9
KERUPUK SEBLAK PEDAS / KRUPUK SEBLAK KERING DAUN JERUK PEDES,Rp25.000,LEGIT SNACK,Jakarta Barat,40+ terjual,5.0
"siomay kering bandung 500 gr. untuk baso aci, seblak ,mie ayam dll",Rp14.999,aghniya,Tangerang Selatan,750+ terjual,4.9
SEBRING KRUPUK KERUPUK SEBLAK KERING PEDAS DAUN JERUK 1KG CABE ASLI,Rp16.000,Aydaa Snack,Surakarta,70+ terjual,4.9
Kerupuk Seblak kering pedas RIKI,Rp8.800,Van Kios,Bandung,1rb+ terjual,4.9
Makanan Kering Kerupuk Seblak Pedas 100 gram,Rp5.000,BLIBET,Jakarta Barat,8 terjual,5.0
"Seblak Rafael, Seblak Coet Instan Halal",Rp25.000,Brother Meat Shop,Depok,250+ terjual,4.9
Seblak RAFAEL | Seblak MAMANG RAFAEL | Seblak Viral ORIGINAL TATANGGA,Rp39.000,Beauty DELUXE,Jakarta Barat,16 terjual,5.0
SAMBAL SEBLAK BY MAMANG RAFAEL ORIGINAL HALAL VIRAALLL,Rp38.900,Beauty DELUXE,Jakarta Barat,9 terjual,5.0
Kerupuk Seblak Rafael Mawar Kecil Mentah 500 Gr / Seblak Viral YONGKI,Rp12.000,insanprimastore,Tangerang Selatan,21 terjual,5.0
Kerupuk SEBLAK MAWAR Rafael - Cikruh Daun Jeruk,Rp20.000,KRIUK JAYA,Jakarta Barat,30+ terjual,4.9
SEBLAK INSTANT TERMURAH,Rp3.999,Pusat Cuankie & Cemilan Frozen,Jakarta Timur,10rb+ terjual,4.8
"Seblak Rafael, Seblak Coet Instan Halal",Rp25.000,Brother Meat Shop,Depok,250+ terjual,4.9
Seblak Instan Pedas Home Made,Rp3.500,the Dhecip,Tangerang Selatan,2rb+ terjual,4.8
Seblak instan yoi enak dan kenyang,Rp7.500,SeblakYoi,Bekasi,250+ terjual,5.0
SEBLAK INSTAN MAMANG TERMURAH,Rp4.000,global cookware1,Jakarta Barat,100+ terjual,4.9
Seblak Instan Pedas Home Made,Rp3.500,the Dhecip,Tangerang Selatan,2rb+ terjual,4.8
Gelifood Seblak Instan Kerupuk Mawar Bumbu Kencur Rafael Pedas Gurih,Rp13.000,Lidigeli,Kab. Garut,250+ terjual,4.8
"keripik beling/kaca 1/2 kg. bumbu seblak daun jeruk enak, gurih, pedas",Rp25.999,aghniya,Tangerang Selatan,250+ terjual,4.9
Seblak pedas kerupuk pedas kiloan 1 kg,Rp35.000,RIKI STORE 97,Kab. Bogor,100+ terjual,4.8
Gelifood Combo 3pcs Seblak Instan Kerupuk Mawar Kencur Pedas Rafael,Rp35.000,Lidigeli,Kab. Garut,100+ terjual,4.9
,,,,,
,,,,,
,,,,,
BELI 3 SEBLAK FREE 1 KEJU AROMA,Rp64.000,Sajodo Snack & Food,Tasikmalaya,12 terjual,5.0
KERUPUK PEDAS KRIWIL BANTAT ISI 250gr KRITING SEMBRING SEBLAK MAWAR,Rp17.248,AHR Jaya Snack,Jakarta Timur,50+ terjual,5.0
"Seblak Instant ""mBak'Well""",Rp15.000,Welly Mart,Tangerang Selatan,100+ terjual,5.0
