nama_produk,harga_produk,nama_penjual,kota_toko,total_terjual,rating,jabodetabek
Gelifood Seblak Instan Kerupuk Mawar Bumbu Kencur Rafael Pedas Gurih,13000,Lidigeli,Kab. Garut,250,4.8,False
Geli Food Seblak Ceker Tanpa Tulang Super Pedas 180gr,22500,Lidigeli,Kab. Garut,40,5.0,False
seblak instan jeletot jajanan hits bandung 1 porsi,4180,tokomakanankalimantan,Jakarta Barat,1000,4.8,True
KERUPUK SEBLAK MENTAH ANEKA WARNA,11500,jajanangarut19,Jakarta Selatan,250,4.9,True
KERUPUK SEBLAK MENTAH 1KG WARNA WARNI,23500,BociKakang,Jakarta Selatan,250,5.0,True
SEBLAK INSTANT TERMURAH,3999,Pusat Cuankie & Cemilan Frozen,Jakarta Timur,10000,4.8,True
"Seblak Rafael, Seblak Coet Instan Halal",25000,Brother Meat Shop,Depok,250,4.9,True
Seblak Instan Pedas Home Made,3500,the Dhecip,Tangerang Selatan,2000,4.8,True
Seblak pedas kerupuk pedas kiloan 1 kg,35000,RIKI STORE 97,Kab. Bogor,100,4.8,True
"seblak ceker 500 gr pedas daun jeruk, gurih,cemilan bikin nagih",17499,aghniya,Tangerang Selatan,50,4.9,True
Seblak instan yoi enak dan kenyang,7500,SeblakYoi,Bekasi,250,5.0,True
SEBLAK INSTAN MAMANG TERMURAH,4000,global cookware1,Jakarta Barat,100,4.9,True
KERUPUK SEBLAK PEDAS / KRUPUK SEBLAK KERING DAUN JERUK PEDES,25000,LEGIT SNACK,Jakarta Barat,40,5.0,True
"siomay kering bandung 500 gr. untuk baso aci, seblak ,mie ayam dll",14999,aghniya,Tangerang Selatan,750,4.9,True
SEBRING KRUPUK KERUPUK SEBLAK KERING PEDAS DAUN JERUK 1KG CABE ASLI,16000,Aydaa Snack,Surakarta,70,4.9,False
Kerupuk Seblak kering pedas RIKI,8800,Van Kios,Bandung,1000,4.9,False
Makanan Kering Kerupuk Seblak Pedas 100 gram,5000,BLIBET,Jakarta Barat,8,5.0,True
Seblak RAFAEL | Seblak MAMANG RAFAEL | Seblak Viral ORIGINAL TATANGGA,39000,Beauty DELUXE,Jakarta Barat,16,5.0,True
SAMBAL SEBLAK BY MAMANG RAFAEL ORIGINAL HALAL VIRAALLL,38900,Beauty DELUXE,Jakarta Barat,9,5.0,True
Kerupuk Seblak Rafael Mawar Kecil Mentah 500 Gr / Seblak Viral YONGKI,12000,insanprimastore,Tangerang Selatan,21,5.0,True
Kerupuk SEBLAK MAWAR Rafael - Cikruh Daun Jeruk,20000,KRIUK JAYA,Jakarta Barat,30,4.9,True
"keripik beling/kaca 1/2 kg. bumbu seblak daun jeruk enak, gurih, pedas",25999,aghniya,Tangerang Selatan,250,4.9,True
Gelifood Combo 3pcs Seblak Instan Kerupuk Mawar Kencur Pedas Rafael,35000,Lidigeli,Kab. Garut,100,4.9,False
BELI 3 SEBLAK FREE 1 KEJU AROMA,64000,Sajodo Snack & Food,Tasikmalaya,12,5.0,False
KERUPUK PEDAS KRIWIL BANTAT ISI 250gr KRITING SEMBRING SEBLAK MAWAR,17248,AHR Jaya Snack,Jakarta Timur,50,5.0,True
"Seblak Instant ""mBak'Well""",15000,Welly Mart,Tangerang Selatan,100,5.0,True
KERUPUK SEBLAK PEDAS DAUN JERUK 100 GR,4500,BociKakang,Jakarta Selatan,500,4.8,True
Seblak Rempah Autentik isi 5 pcs,45000,Kylafood Jakarta,Jakarta Selatan,40,5.0,True
